hero,degree
"CARTER, PEGGY",82
MS. MARVEL II/SHARON,81
"HARKNESS, AGATHA",81
DRAX/ARTHUR DOUGLAS,80
SKIN/ANGELO ESPINOSA,80
"SUMMERS, MADELYNE MA",79
CHAMBER/JONOTHON STA,79
HUSK/PAIGE GUTHRIE,79
DIAMONDBACK II/RACHE,78
"LEEDS, NED",78
SCREAMING MIMI/MELIS,78
"ROSENTHAL, BERNIE",76
VENOM/EDDIE BROCK,75
NOVA II/FRANKIE RAYE,74
"QUARTERMAIN, CLAY",74
"JONES, MARLO CHANDLE",74
ANCIENT ONE,74
"JAMESON, MARLA MADIS",73
MARROW/SARAH,73
NIGHTMARE/EDVARD HAB,73
LIZARD/DR. CURTIS CO,72
HELA [ASGARDIAN],72
WIZARD/BENTLEY WITTM,72
STARSHINE II/BRANDY,72
SYNCH/EVERETT THOMAS,71
"WINGFOOT, WYATT",71
HOWARD THE DUCK,71
MAGMA/AMARA AQUILLA/,71
MAKKARI/MIKE KHARY/I,71
ABSORBING MAN/CARL C,71
BLACK KING/SEBASTIAN,71
CALIBAN/,71
GUARDIAN/JAMES MACDO,70
"TILBY, TRISH/PATRICI",70
HOBGOBLIN V/JASON PH,69
MORBIUS/DR. MICHAEL,69
CITIZEN V II/HELMUT,69
LEADER/SAM STERNS,68
DEADPOOL/JACK/WADE W,67
DORMAMMU,67
JUGGERNAUT/CAIN MARK,67
DARKHAWK/CHRIS POWEL,66
DORMA [ATLANTEAN],66
LONGSHOT,66
ULTRON,66
"ROBERTSON, RANDY",66
PENANCE/MONET ST. CR,65
"MADDICKS, ARTHUR ART",65
MULTIPLE MAN/JAMES A,65
"CUSHING, KATE",65
FIXER II/PAUL NORBER,65
"WOLFE, SARA",65
"DRAKE, FRANKLIN",64
KLAW/ULYSSES KLAW,64
MOLE MAN/HARVEY RUPE,64
STRONG GUY/GUIDO CAR,64
"LUBENSKI, NATE",63
WHIZZER/ROBERT L. FR,63
PYRO/ALLERDYCE JOHNN,63
LIVING LIGHTNING/MIG,62
SUNFIRE/SHIRO YOSHID,62
SHATTERSTAR II/GAVEE,61
"O'BRIEN, MICHAEL",61
RINTRAH,60
SNOWBIRD/NARYA/ANNE,60
LEECH,60
MACHINE MAN/X-51,59
MADAME MASQUE/GIULIE,58
SKIDS/SALLY BLEVINS,58
THUNDERBALL/DR. ELIO,58
TRAPSTER/PETER PETRU,58
"POWER, DR. JIM",58
RAGE/ELVIN DARYL HAL,58
RHINO,58
WILD CHILD/KYLE GIBN,58
DAYTRIPPER/AMANDA SE,58
KARMA/XI'AN COY MANH,58
ELECTRO/MAX DILLON,57
FIREFIST/RUSTY COLLI,57
"STACY, JILL",57
TALISMAN II/ELIZABET,57
MAXIMUS [INHUMAN],57
"CABE, BETHANY",57
BLACK GOLIATH/DR. WI,56
VULTURE/ADRIAN TOOME,56
WRECKER III/DIRK GAR,56
PUPPET MASTER/PHILLI,56
PHOENIX II,55
THENA,55
TOAD/MORTIMER TOYNBE,55
IKARIS/IKE HARRIS [E,55
JACK OF HEARTS/JACK,55
JOCASTA,55
TOPAZ,54
"PETROVITCH, IVAN",54
BARON MORDO/KARL MOR,54
MANTIS/? BRANDT,54
"MERCADO, JOY",54
"POWER, MARGARET",53
AVALANCHE/DOMINIC PE,52
STINGRAY/DR. WALTER,52
"VAN HELSING, RACHEL",52
"WISDOM, PETER",52
CORSAIR,52
COBRA/KLAUS VORHEES,51
VIPER II,51
BETA RAY BILL,51
MASTER MOLD II,51
"GLENN, HEATHER",51
M,50
MISTER HYDE/CALVIN Z,50
BLAQUESMITH,50
CALLISTO,50
BARON STRUCKER/WOLFG,49
CAPTAIN MARVEL III/G,49
MYSTERIO/QUENTIN BEC,49
FU MANCHU,49
JOLT/HALLIE TAKAHAMA,49
DIAMOND LIL/LILLIAN,49
SUPREME INTELLIGENCE,49
"OSBORN, NORMIE",49
PERSUASION/KARA KILL,49
"SOUTHERN, CANDY",48
SWORDSMAN/JACQUES DU,48
THINKER,48
TURBO II (A)/MICHIKO,48
FIRELORD/PYREUS KRIL,48
"LYNNE, MONICA",48
ATTUMA,48
BEYONDER,48
"BRIDGE, GEORGE WASHI",48
BUCKY/BUCKY BARNES,47
"GRIFFITH, D.W.",47
KAINE,47
LUNA/LUNA MAXIMOFF [,46
DARKSTAR/LAYNIA SERG,46
SILHOUETTE,46
SPIRAL,46
SUPER SKRULL/KL'RT,46
TIGER SHARK/TODD ARL,46
TOMBSTONE/LONNIE THO,46
TORO/TOM RAYMOND,46
PIP/PRINCE GOFERN,46
"SWITZLER, BEVERLY",45
TITANIA II/MARY SKEE,45
ULIK,45
CHAMELEON/DMITRI SME,45
CONSTRICTOR/FRANK PA,45
"MERRYWEATHER, IRENE",45
"NELSON, DEBBIE HARRI",45
JACKAL/MILES WARREN,45
ABOMINATION/EMIL BLO,45
"BANNON, LANCE",45
BULLDOZER/HENRY CAMP,44
HYPERION,44
LORELEI II/MELODI [A,44
ETERNITY/ADAM QADMON,44
PILEDRIVER II/BRIAN,44
SCHEMER/RICHARD FISK,44
SELENE,44
ZEUS,44
"WHITMAN, DEBRA",43
WIDGET,43
"DIAMOND, BOB",43
"STUART, DR. ALISTAIR",43
DEATH,42
DESTINY II/IRENE ADL,42
ELEKTRA/ELEKTRA NATC,42
KRISTOFF/KRISTOFF VE,42
GAMORA,42
HAMMERHEAD,42
ARRANGER/,42
BLADE/,42
BOOMERANG/FRED MYERS,42
"BLAZE, ROXANNE SIMPS",41
BULLSEYE II/BENJAMIN,41
GATEWAY,41
"HAMMER, JUSTIN",41
HYDROMAN/MORRIE BENC,41
MODOK/GEORGE TARLETO,41
MR. SINISTER/NATHAN,41
DEATHBIRD [SHI'AR],41
DR. SPECTRUM/JOSEPH,41
"TOWER, BLAKE",41
"STANKOWICZ, FABIAN",40
DEATHLOK III/MICHAEL,40
EXECUTIONER II/SKURG,40
"MASON, LOUISE",40
"MCCABE, LINDSAY",40
FORGOTTEN ONE/GILGAM,40
FRIGGA,40
"HARKER, QUINCY",40
"WOO, JIMMY",40
WHIZZER II/STANLEY S,39
HILDEGARDE [ASGARDIA,39
KRO [DEVIANT],39
MASTERMIND/JASON WYN,39
"MASTERSON, KEVIN",39
COLLECTOR/TANELEER T,39
FIREBIRD/BONITA JUAR,39
SPITFIRE/LADY JACQUE,39
"AUSTIN, SUSAN",39
BATROC/GEORGES BATRO,39
"SAXON, STARR",39
PALADIN/PAUL DENNIS,38
"PIERCE, ALEXANDER GO",38
"RUSSELL, LISSA",38
"BLAKE, BECKY",38
"TAYLOR, LEILA",38
TYGER TIGER/JESSAN H,38
CHARCOAL/CHARLIE BUR,38
CROSSBONES/BROCK BIN,38
DESTROYER III,38
KRAVEN THE HUNTER/SE,38
WHIPLASH/MARK SCARLO,38
YELLOW CLAW/TZING JA,37
"ZARRKO, ARTHUR",37
MAM'SELLE HEPZIBAH,37
MARRINA/MARRINA SMAL,37
CH'OD,37
DEMOLITION MAN/DENNI,37
"DEWOLFF, JEAN",37
TYPHOID MARY/MARY ME,37
ANNIHILUS,37
BEDLAM/JESSE AARONSO,37
BROTHER VOODOO/DANIE,37
RAZA LONGKNIFE,37
PUMA/THOMAS FIREHEAR,36
RED GUARDIAN III/DR.,36
"SCARFE, RAFAEL",36
"BALLANTINE, KAYLA",36
BATTLESTAR/LEMAR HOS,36
BLACK MAMBA/TANYA SE,36
CITIZEN V III/DALLAS,36
FERAL/MARIA CALLASAN,36
MAD DOG/COLONEL BUZZ,36
WHITE TIGER/HECTOR A,36
"HODGE, CAMERON",36
FRANKENSTEIN MONSTER,35
IMPOSSIBLE MAN,35
JOSEPH,35
"KATZENBERG, NICK",35
WHIRLWIND/DAVID CANN,35
MOLECULE MAN/OWEN RE,35
"MUGGINS, MAMIE",35
COPYCAT/VANESSA,35
ANALYZER,35
BOX/ROGER BOCHS,35
PRINCESS PYTHON/ZELD,35
"RORY, RICHARD",35
"ROSS, EVERETT KENNET",35
SHA SHAN,35
S'YM,35
TRIATHLON/DELROY GAR,35
TESSA,34
"PIERCE, DONALD",34
RINGMASTER/MAYNARD T,34
"ROBERTSON, MARTHA",34
MAN-BEAST,34
MENTOR/ALARS [ETERNA,34
"WILSON, JIM",34
"KAFKA, DR. ASHLEY",34
GLADIATOR II,33
"KELLY, SEN. ROBERT E",33
VIBRAXAS/N'KANO,33
"NORRISS, JACK",33
PATHWAY/LAURA DEAN,33
PLUTO [OLYMPIAN],33
SAURON/DR. KARL LYKO,33
SHROUD/MAXIMILLIAN Q,33
SILVERMANE/SILVIO MA,33
"STACY, CAPT. GEORGE",33
THUNDRA,33
TYRANNUS,33
UMAR,33
ANACONDA/BLANCHE SIT,33
BLACK TOM CASSIDY,33
"ERWIN, CLYTEMNESTRA",33
CENTURY,32
"COWEN, BUCK",32
DRAGON MAN,32
ARAGORN,32
ARCANNA/ARCANNA JONE,32
"BALDWIN, MADELYNE MA",32
BLOODAXE/JACKIE LUKU,32
"BROWN, ABE",32
"CANTOR, VERA",32
SILVER SAMURAI/KENYU,32
"STACY, ARTHUR",32
STRANGER,32
TANA NILE,32
PLANTMAN/SAM SMITHER,32
RONAN THE ACCUSER [K,32
SATAN/MARDU KURIOS,32
HOBGOBLIN II/RODERIC,32
"HOGARTH, JERYN",32
"HUNTER, STEVIE",32
"JACKSON, STEVE",32
KISMET/J'RIDIA STARD,32
"NEWELL, DIANE ARLISS",32
KRANG [ATLANTEAN],31
MANIKIN/DR. WHITMAN,31
"MARRS(-PAYNE), PHOEB",31
MAYHEM/DET. BRIGID O,31
PROWLER/HOBIE BROWN,31
PSI-LORD/FRANKLIN BE,31
SPEEDBALL II/DARRION,31
SPHINX,31
"STONE, LT. MARCUS",31
TORPEDO III/BROCK JO,31
"TRAINER, DR. SEWARD",31
ASP II/CLEO,31
BLOODSTORM | MUTANT,31
"ELLIS, KEN",31
"CHORD, ANDREW",30
"CRAWLEY, BETRAND",30
DARK BEAST/HENRY MCC,30
EBONY,30
"ERWIN, MORLEY",30
"BLESSING, MORGANA",30
STRYFE,30
SURTUR,30
"TEMPLE, CLAIRE",30
"RICHARDS, NATHANIEL",30
"RODGERS, MARIANNE",30
"LEWIS, SHIRLEY WASHI",30
GLADIATOR/MELVIN POT,30
GRIM REAPER/ERIC WIL,30
"KANE, MARCY/KAINA",30
KARKAS [DEVIANT],30
GHAUR [DEVIANT],29
ICE-MAN | MUTANT X-V,29
LADY DEATHSTRIKE/YUR,29
LADY LARK/LINDA LEWI,29
LEGION II/DAVID HALL,29
LLYRA/LLYRA MORRIS,29
"MACKENZIE, AL",29
NETWORK NINA,29
"NEVILLE, KATE",29
PLUNDERER/LORD EDGAR,29
RAVONNA LEXUS RENSLA,29
REJECT/RAN-SAK [DEVI,29
"REYES, DR. CECELIA",29
SHALLA BAL II,29
VANGUARD/NICOLAI KRY,29
ARES [GREEK GOD],29
BOVA,29
BRUTE | MUTANT X-VER,29
CARGIL/JOANNA CARGIL,29
"CHENEY, LILA",29
DIABLO/ESTEBAN DE AB,29
VENUS/APHRODITE/VICT,29
"WATSON, KRISTY",28
"CHANG, IMEI",28
"CORBEAU, DR. PETER",28
"DAMIAN, MARGO",28
"DRUMM, JERICHO",28
ARCADE/,28
"STEELE, MARCY MASTER",28
OWL/LELAND OWLSLEY,28
POWER PRINCESS/ZARDA,28
ROCK/SAMUEL JOHN ROC,28
SCORPION/MACDONALD G,28
"KINCAID, DR. KEITH",28
"LANG, CASSANDRA CASS",28
"LE FEY, MORGAN",28
MASQUE,28
NEBULA,28
FOREIGNER/RAFAEL BAS,28
GOBLYN,28
"GREY, DR. JOHN",28
HILDY [ASGARDIAN],28
"IONELLO, JASON",28
"JONES, CHARLOTTE",28
GREY GARGOYLE/PAUL P,27
LIBRA/GUSTAV BRANDT,27
PSYCHO-MAN,27
SHARD,27
SPIDER-MAN III/MARTH,27
"THOMAS, COMMANDER DA",27
ANDROMEDA/ANDROMEDA,27
"BROWN, LAURA",27
CARNAGE/CLETUS KASAD,27
"COUNT NEFARIA, LUCHI",27
CRIMSON DYNAMO V/DIM,27
"DELGADO, FATHER",27
DEVIL-SLAYER/ERIC SI,27
"CHANG, DR. PHILLIP",26
CLOUD,26
CLOWN/CRAFTY ELIOT F,26
"COY, GENERAL NGUYEN",26
DEATHCRY [SHI'AR],26
EGO,26
"BENTLEY, VICTORIA",26
BRIGHTWIND,26
SHOCKER/HERMAN SCHUL,26
"SIKORSKY, RAYMOND",26
"STRUCKER, ANDREAS",26
"SUN, LIN",26
ULYSSES II,26
"O'BREEN, GLORIANNA",26
RED GHOST/IVAN KRAGO,26
"SAPRISTI, JERRY",26
"KING, HANNIBAL/HENRY",26
MISS AMERICA/MADELIN,26
ISAAC,26
"JACKSON, CURTISS",26
VERMIN/EDWARD WHELAN,26
"ZIMMER, ABE",26
"WHYTE, HARMONY (HARM",25
WINDSHEAR/COLIN ASHW,25
YUKIO,25
"GAMBONNO, ERNESTO",25
"GAMBONNO, LUIGI",25
HINDSIGHT LAD/CARLTO,25
"HOPKINS, STEVE",25
"LANDERS, GENA",25
PEATOR,25
SCANNER II,25
SLEEPWALKER,25
"SPAULDING, PETER",25
STILT-MAN/WILBUR DAY,25
TASKMASTER,25
"BYRD, SEN. HARRINGTO",25
DEATHLOK/COLONEL LUT,25
"FAIRMONT, HANNAH",25
DEVLOR,24
D'SPAYRE,24
"ALEXANDER, CARRIE",24
ARON [WATCHER],24
BIG MAN/FREDERICK FO,24
BOLT II/CHRIS BRADLE,24
CANNONBALL/JACK PULV,24
SHIP,24
TURK,24
VANISHER,24
ROMA,24
"ROYCE, JENNIE",24
SENTINELS,24
SETH II,24
"LUMPKIN, WILLIAM WIL",24
MAGUS,24
"MARTINELLI, VINCENT",24
MASTER/ESHU,24
MAVERICK/CHRISTOPHER,24
MIKHLO,24
MIMIC/CALVIN RANKIN,24
MOTHER NIGHT/SUSAN S,24
GRAVITON/FRANK HALL,24
IGOR,24
"VOGHT, AMELIA",24
WOLVERINE SKRULL,24
"YASHIDA, MARIKO",24
ZARAN/MAXIMILLIAN ZA,24
VOLCANA/MARSHA ROSEN,23
WHIZZER III/JAMES SA,23
ZURAS,23
"GREY, ELAINE",23
HUNTARA/MARY ELIZABE,23
JACK O'LANTERN II/MA,23
"KILLMONGER, ERIC/N'J",23
MASTER KHAN/TYRONE K,23
MELTER/BRUNO HORGAN,23
MIDNIGHT III/JEFFREY,23
OZYMANDIAS,23
"POWELL, GRACE",23
RADIOACTIVE MAN/DR.,23
"ROTH, ARNIE",23
SABRA/RUTH BAT-SERAP,23
"STRUCKER, ANDREA",23
"TANAKA, KENJIRO",23
THOR II/ROGER RED NO,23
ANGAR THE SCREAMER/D,23
BLASTAAR,23
"CORTEZ, FABIAN",23
"CARPENTER, RACHEL",22
"CONNORS, MARTHA",22
CR'REEE,22
DYNA-MITE/ROGER AUBR,22
EON,22
"FISK, VANESSA",22
ARISHEM [CELESTIAL],22
ATALANTA,22
"BUSHKIN, BARNEY",22
"SHARPE, ROSALINDE",22
"SONDHEIM, ERICA",22
"STANE, OBADIAH",22
SWORDSMAN III/PHILIP,22
TERRAX II/TYROS,22
UNUS THE UNTOUCHABLE,22
"PLUNDER, ADAM KYLE M",22
RADIUS/JARED CORBO,22
"RAVEN, LT. JACOB",22
ROSE IV/JACOB JAKE C,22
KILLRAVEN/JONATHAN R,22
KURSE/ALGRIM [ASGARD,22
MAGGOTT/JAPHETH,22
N'ASTIRH,22
"FORRESTER, CAPT. ALE",22
"FUJIKAWA, RUMIKO",22
GRANDMASTER/EN DWI G,22
GUARDIAN V/JAMES MAC,22
HECTOR II,22
"WALTERS, BILLY",22
"WALTERS, SHERIFF MOR",22
"ZAPPER, DAN",22
WITCHFIRE,21
ZEMO/BARON HEINRICH,21
ZURI,21
FLEX/ADRIAN CORBO,21
GIDEON,21
"LACOSTE, RAE",21
LIVING MONOLITH/AHME,21
MAN-KILLER/KATRINA L,21
MESMERO,21
MOJO,21
MURMUR II/ARLETTE TR,21
"NALES, DET. REBECCA",21
OMEGA RED/ARKADY ROS,21
"RUIZ, RIGGER",21
SHADOW KING/AMAHL FA,21
"STACY, PAUL",21
"SUEE, FAH LO",21
SUPER-ADAPTOID/ALESS,21
TITANIUM MAN/BORIS B,21
"ADAMS, NICOLE NIKKI",21
AQUARIAN/WUNDARR,21
"ARCHER, ULYSSES SAMS",21
"BALDWIN, JUSTIN",21
"BOWEN, FATHER MICHAE",21
BUTCH,21
CRIMSON COMMANDO/FRA,21
CRIMSON COWL II/,21
DR. OCTOPUS II/CAROL,21
EXPEDITER II/ZOE CUL,21
CAT III/SHEN KUEI,20
"CHEKOV, ARTHUR ANTON",20
"CLARK, JOHN",20
"CONNORS, BILLY",20
DEVIL DINOSAUR,20
EGGHEAD/PROF. ELIHAS,20
EXODUS/BENNET DUPARI,20
FIN FANG FOOM/MIDGAR,20
"FITZROY, TREVOR",20
AJAX,20
"SHERIDAN, RICHARD RI",20
SIDEWINDER/SETH VOEL,20
"SLOAN, DR.",20
UNION JACK II/BRIAN,20
ORKA,20
"PEARSON, MARCY",20
PORCUPINE/ALEX GENTR,20
"POWELL, JONATHAN",20
QUEEN DIVINE JUSTICE,20
"RAHN, TAMARA",20
"RANSOME, JENNIFER AM",20
RECORDER II,20
"REESE, MURRAY",20
"RIDER, CHARLES",20
KOFI [KYMELLIAN],20
"KRAMER, STACEY",20
LIVING LASER/ARTHUR,20
MADAME WEB/CASSANDRA,20
MANGOG,20
MOONBOY,20
M'SHULLA,20
NIGHTSHADE/TILDA,20
FOOLKILLER II/GREG S,20
GAMMENON [CELESTIAL],20
GOLDEN ARCHER II/WYA,20
"KALE, JENNIFER",20
"KETCH, DORIS AUDRA",20
"ZOLA, ARNIM",20
WAR/ABRAHAM LINCOLN,19
WHITE TIGER II/,19
"YIN, ANGELA",19
ZERO,19
"FRIEDLANDER, SHARON",19
GAFF/SIDNEY E. LEVIN,19
GAUNTLET,19
HULK III/BRUCE BANNE,19
IRONCLAD,19
"KORVAC, MICHAEL",19
LILITH/ANGEL O'HARA/,19
LIVING TRIBUNAL,19
MALEKITH/MALCOLM KEI,19
"MARRS, DESMOND",19
MENTALLO,19
MOLTEN MAN/MARK RAXT,19
OLD SKULL,19
OVERMIND/GROM,19
PARIS,19
"POWELL, JASON",19
"RASSITANO, MAD DOG",19
RED WOLF III/WILL TA,19
"RIDER, ROBERT ROBBIE",19
ROCKET RACER/ROBERT,19
"SHINCHUKO, LOTUS",19
SHRIEK/SANDRA DEEL/F,19
"SLOAN, FRED",19
SPIDERCIDE,19
"STACY, GWEN (CLONE)",19
"STEELE, BOBBY",19
"SZARDOS, MARGALI",19
THUNDERBIRD III/NEAL,19
"ALVAREZ, FELIX",19
ARCLIGHT/PHILLIPA SO,19
"BERNSTEIN, DR. NOAH",19
BONEBREAKER/,19
"CLARK, SARAH",19
"CORRIGAN, ARCHIBALD",19
"DOLAN, STACY",19
"CARLISLE, PHILLIP",18
CERISE II [SHI'AR],18
"CLARKE, GENERAL JERE",18
"COLLINS, DEMITRIUS",18
CONTROLLER/BASIL SAN,18
"CORSI, TOM",18
COTTONMOUTH II,18
"CREED, GRAYDON",18
ELYSIUS,18
EMPATH/MANUEL ALFONS,18
EMPLATE/MARIUS ST. C,18
AMPHIBIUS,18
BLACK KNIGHT/SIR PER,18
BLOODSTONE/ULYSSES B,18
"BOUDREAUX, BELLA DON",18
BROTHERS GRIMM II/BA,18
CAPTAIN HAWK,18
SIKORSKY,18
"ST. LAWRENCE, COL. C",18
TOM THUMB/THOMAS THO,18
UNION JACK/LORD MONT,18
VAPOR,18
VECTOR,18
"NORTH, DAKOTA",18
ONSLAUGHT II,18
ORACLE/LADY SIBYL,18
"PALERMO, VICTOR",18
"PARETSKY, DR. GARY",18
RATTLER,18
REDEEMER/CRAIG SAUND,18
SERGEI,18
KRISTA,18
"LANG, DR. STEVEN",18
MASTER MAN/WILHELM L,18
"MEACHUM, JOY",18
MISS LOCKE,18
MOONHUNTER/ZACK MOON,18
"MOREAU, PHILLIP",18
MORGAN,18
MR. JIP,18
NEKRA/ADRIENNE HATRO,18
"NELSON, CANDACE",18
"NEWMARK, LOTUS",18
NIGHTHAWK/KYLE RICHM,18
FOREARM,18
"FROST, CARMILLA",18
"GILBERT, ROXANNE",18
"GRANT, SILAS",18
"HALLER, GABRIELLE",18
"JAYE-FIRESTONE, GING",18
"JONES, JANIS",18
"FORTUNE, DOMINIC",17
"GATOR, LORD",17
"HUNT, JERRY",17
